"Temp..C.","length..mm.","ind.Dw..mg.","AFDW..mg.","Z0..ug.chlorophyll.L.","F..mL.mg.h.","FI..mL.mg.h.","CR..ug.mg.h.","IR..ug.mg.h.","X"
5,19.3,13.84,12.18,5.161,4.2,4.2,0.019,0.019,0.0505855904813023
11.8,17.7,16.48,14.51,0.912,10.09,6.3,0.0064,0.0045,0.0121281637587897
11.8,18.77,18.33,16.13,0.856,6.44,4.54,0.0042,0.0032,0.00858426806996934
11.8,17.18,18.2,16.02,0.816,8.88,4.07,0.0052,0.0028,0.00753821429761105
11.8,19.79,18.95,16.67,0.74,6.47,2.83,0.0036,0.0019,0.00494265229331358
11,20.82,16.48,14.51,12.24,27.6,27.6,0.1335,0.1335,0.355993238821654
11,19.98,18.33,16.13,13.04,29.44,29.44,0.133,0.133,0.354611819258373
11,20.78,18.2,16.02,13.52,27.1,27.1,0.1362,0.1362,0.363288071826972
11,19.82,18.95,16.67,13.52,28.77,28.77,0.1337,0.1337,0.356438858424282
11.6,19.96,16.48,14.51,14.8,28.25,28.25,0.1745,0.1745,0.465360964689222
11.6,20.54,18.33,16.13,15.36,24.88,24.88,0.1611,0.1611,0.429640839743366
11.6,20.16,18.2,16.02,15.12,23.42,23.42,0.1564,0.1564,0.417112841075975
11.6,21.12,18.95,16.67,14.88,18.56,18.56,0.1384,0.1384,0.368983174301372
25,19.07,15.57,13.7,9.18,0.81,-0.31,0.0072,-0.0029,-0.00772194643174535
25,19.7,16.51,14.53,9.16,1.58,0.41,0.0135,0.0037,0.00990323076511112
25,19.49,13.74,12.09,8.945,1.68,0.43,0.014,0.0038,0.0100151200896065
25,19.28,17.56,15.45,8.735,1.94,-0.37,0.0154,-0.0033,-0.00880753140851938
24,18.6,15.57,13.7,8.82,29.56,29.56,0.1537,0.1537,0.409806926406136
24,18.52,16.51,14.53,8.58,23.91,23.91,0.1295,0.1295,0.345334019045552
24,19.88,13.74,12.09,9.18,41.16,41.16,0.2004,0.2004,0.534530027985274
24,19.14,17.56,15.45,9,30.22,30.22,0.1493,0.1493,0.398132642453083
17.1,21.3,13.88,12.21,20.649,2.1,0.2,0.0402,0.0041,0.0109641916149329
17.1,21.29,10.67,9.39,20.583,3.75,0.35,0.0695,0.0071,0.0188616252075815
17.1,21.45,10.74,9.45,18.786,0.79,-0.97,0.0144,-0.0187,-0.0497749091947745
17.1,20.88,12.4,10.91,20.499,1.44,1.29,0.0282,0.0254,0.0678456227831871
17.1,19.7,13.88,12.21,5.064,18.6,18.6,0.0639,0.0639,0.17047173296492
17.1,21.14,10.67,9.39,4.956,21.06,21.06,0.074,0.074,0.197404919671224
17.1,21.08,10.74,9.45,4.986,18.14,18.14,0.0709,0.0709,0.18914392648262
17.1,20.1,12.4,10.91,4.908,18.29,18.29,0.0633,0.0633,0.168788157856395
