"Temp..C.","length..mm.","ind.Dw..mg.","AFDW..mg.","Z0..ug.chlorophyll.L.","F..mL.mg.h.","FI..mL.mg.h.","CR..ug.mg.h.","IR..ug.mg.h.","X"
7,20.8,11.8,10.38,1.065,33.16,33.16,0.0131,0.0131,0.0348549494033595
7,20.98,12.07,10.62,1.117,33.04,33.04,0.0135,0.0135,0.0359016596646182
9,20.65,11.64,10.24,1.038,24.83,24.83,0.0118,0.0118,0.0313695007455023
9,21.53,12.91,11.36,0.975,17.38,17.38,0.009,0.009,0.0240905598317226
9,20.85,11.87,10.45,0.924,20.45,20.45,0.0096,0.0096,0.025594445816564
9,20.98,12.08,10.63,0.975,18.36,18.36,0.0096,0.0096,0.0256092252270086
11,20.45,11.32,9.96,0.889,24.85,24.85,0.0105,0.0105,0.0280022833981081
11,21.3,12.59,11.08,0.895,12.45,12.45,0.0071,0.0071,0.0188110860273793
11,21.08,12.24,10.77,0.878,12.9,12.9,0.0072,0.0072,0.019222721964262
11,21.68,13.12,11.55,0.918,15.85,15.85,0.0082,0.0082,0.0218744435028751
13,21.95,13.55,11.93,0.958,16.38,16.38,0.0094,0.0094,0.025165029080875
13,21.35,12.61,11.09,1.004,15.58,15.58,0.0099,0.0099,0.026529432001911
13,21.28,12.52,11.02,1.17,27.88,27.88,0.0156,0.0156,0.0415624062843236
13,20.98,12.09,10.64,1.056,30.07,30.07,0.0148,0.0148,0.0394133651338707
15,21.23,12.42,10.93,1.297,32.56,32.56,0.0154,0.0154,0.0409586339598103
15,21.78,13.28,11.69,1.234,22.41,22.41,0.0128,0.0128,0.034008317330278
15,21.15,12.3,10.83,1.383,26.7,26.7,0.016,0.016,0.0426899762362203
15,20.85,11.94,10.5,1.228,23.75,23.75,0.0137,0.0137,0.0366446040774612
17,21.05,12.14,10.69,1.264,24.49,24.49,0.0144,0.0144,0.0384962054355877
17,20.75,11.8,10.38,1.147,21.86,21.86,0.0128,0.0128,0.0340113454586842
17,21.45,12.78,11.24,1.047,14.29,14.29,0.0091,0.0091,0.0242559844791631
17,21.35,12.62,11.11,1.024,20.78,20.78,0.0107,0.0107,0.0285850577716158
19,21.35,12.61,11.1,1.322,17.83,17.83,0.0129,0.0129,0.0343192658086547
19,21.55,12.94,11.38,1.381,18.77,18.77,0.0135,0.0135,0.0360658853536989
19,21.1,12.3,10.82,1.369,17.38,17.38,0.0133,0.0133,0.0355554858160294
19,20.95,11.99,10.55,1.322,24.57,24.57,0.0152,0.0152,0.040507266064857
21,21.28,12.5,11,1.586,11.88,11.88,0.0124,0.0124,0.0329343930275228
21,20.93,11.96,10.52,1.322,10.94,10.94,0.0099,0.0099,0.0264752180890353
21,21.85,13.4,11.79,1.288,10.04,10.04,0.0088,0.0088,0.0234453875635191
21,21,12.13,10.67,1.316,10.65,10.65,0.0097,0.0097,0.0258310639908648
23,21.38,12.65,11.13,1.659,15.95,15.95,0.0173,0.0173,0.0461438519926767
23,21.33,12.6,11.09,1.609,18.16,18.16,0.0181,0.0181,0.0483462386278656
23,21.6,13,11.44,1.676,11.37,11.37,0.0138,0.0138,0.0368829039687596
23,20.43,11.24,9.89,1.884,30.13,30.13,0.0291,0.0291,0.0777078589981762
25,21.2,12.4,10.91,1.851,25.35,25.35,0.0306,0.0306,0.0817323003840988
25,21.18,12.34,10.86,2.289,38.24,38.24,0.0474,0.0474,0.126416705870998
25,21.7,13.17,11.59,1.8,28.92,28.92,0.0313,0.0313,0.0835891385949785
25,20.5,11.36,9.99,1.845,33.01,33.01,0.0369,0.0369,0.0985161638315554
27,21.6,13.01,11.45,1.575,36.96,36.96,0.031,0.031,0.0826828686851278
27,21.15,12.34,10.85,1.558,34.59,34.59,0.0306,0.0306,0.0815315415110526
27,20.68,11.59,10.2,1.598,39.27,39.27,0.0344,0.0344,0.0917909988627361
27,21.23,12.42,10.93,1.643,40.86,40.86,0.0354,0.0354,0.0942905089785054
